,date,dayofweek,day,month,year,temp_max,temp_mean,temp_min,temp_delta,sl_pressure_mean,humidity_mean,wind_speed_max,wind_speed_mean,cloud_cover,precipitation,events,wind_direction,owm_status,end_of_week,winter,rain,sun_length,moon_phase,sun_units,dew_point_mean,wind_chill_mean,wind_chill_max,heat_index,temp_apparent
0,2016-3-7,monday,7,3,2016,58,53,48,10,29.9883056,66,25,18,88,0.01,Chance of a Thunderstorm,318,Rain,False,False,True,698.983333333,0.942159506007,83.878,44.6907625654,53,58,147.427463055,67.3871080908
1,2016-3-8,tuesday,8,3,2016,58,55,52,6,30.0624259,59,20,13,0,0.11,Partly Cloudy,290,Clear,False,False,False,701.366666667,0.976093296375,701.366666667,44.3875216776,55,58,145.176234144,72.4066372579
2,2016-3-9,wednesday,9,3,2016,64,60,56,8,30.2785855,80,15,10,32,0.01,Chance of Rain,197,Rain,False,False,True,703.783333333,1.01002708674,478.572666667,55.259230478,60,64,257.223958778,101.351845266
3,2016-3-10,thursday,10,3,2016,63,59,55,8,30.3022095,79,20,14,92,0.4,Chance of Rain,193,Rain,False,False,True,706.183333333,0.044071382655,56.4946666667,54.0297585003,59,63,242.167758568,94.549754386
4,2016-3-11,friday,11,3,2016,59,55,51,8,30.2251362,74,20,14,76,0.31,Rain,213,Rain,True,False,True,708.6,0.0780904732323,170.064,48.8479950213,55,59,185.282709811,79.4625619845
5,2016-3-12,saturday,12,3,2016,59,56,54,5,29.6779453,67,25,17,75,0.57,Chance of Rain,190,Rain,True,False,True,711.016666667,0.112109563793,177.754166667,47.8191970091,56,59,174.234344628,76.4375561666
6,2016-3-13,sunday,13,3,2016,59,56,54,5,29.9794466,75,20,15,19,0.73,Rain,198,Rain,True,False,True,713.433333333,0.146128654379,577.881,50.0768720574,56,59,197.702075687,82.1763688432
7,2016-3-14,monday,14,3,2016,59,55,51,8,29.8867224,73,20,16,78,0.29,Rain,234,Rain,False,False,True,715.85,0.180147744953,157.487,48.5761131021,55,59,182.431985856,77.5455003361
8,2016-3-15,tuesday,15,3,2016,58,53,49,9,30.0240369,65,25,18,41,0.0,Clear,290,Rain,False,False,True,718.266666667,0.214166835517,423.777333333,44.3944904987,53,58,145.053194115,66.9176064531
9,2016-3-16,wednesday,16,3,2016,65,58,51,14,29.9363328,57,20,13,37,0.0,Clear,317,Rain,False,False,True,720.7,0.248185926095,454.041,46.492763928,58,65,161.797457179,78.8791209744
