date,crime_level_sum,crime_count,weather_crime_count,violent_count,COP_count,gun_crime_count,dayofweek,day,month,year
2003-01-01,1078,541,143,91.0,134.0,5.0,wednesday,1,1,2003
2003-01-02,731,399,72,39.0,53.0,1.0,thursday,2,1,2003
2003-01-03,802,435,84,42.0,65.0,0.0,friday,3,1,2003
2003-01-04,678,347,65,44.0,59.0,3.0,saturday,4,1,2003
2003-01-05,749,371,101,49.0,72.0,2.0,sunday,5,1,2003
2003-01-06,734,396,63,37.0,49.0,3.0,monday,6,1,2003
2003-01-07,780,409,90,55.0,68.0,3.0,tuesday,7,1,2003
2003-01-08,927,522,89,38.0,80.0,2.0,wednesday,8,1,2003
2003-01-09,731,407,74,35.0,59.0,2.0,thursday,9,1,2003
2003-01-10,762,389,84,47.0,70.0,3.0,friday,10,1,2003
2003-01-11,673,356,75,40.0,66.0,3.0,saturday,11,1,2003
2003-01-12,574,317,61,24.0,47.0,5.0,sunday,12,1,2003
2003-01-13,754,389,84,46.0,63.0,2.0,monday,13,1,2003
2003-01-14,776,400,81,51.0,71.0,3.0,tuesday,14,1,2003
2003-01-15,741,395,63,38.0,54.0,2.0,wednesday,15,1,2003
2003-01-16,767,400,80,40.0,63.0,4.0,thursday,16,1,2003
2003-01-17,805,437,75,40.0,54.0,3.0,friday,17,1,2003
2003-01-18,647,338,67,37.0,58.0,2.0,saturday,18,1,2003
2003-01-19,578,300,56,30.0,36.0,1.0,sunday,19,1,2003
2003-01-20,731,402,67,31.0,52.0,4.0,monday,20,1,2003
2003-01-21,711,378,58,34.0,46.0,3.0,tuesday,21,1,2003
2003-01-22,838,456,78,42.0,64.0,7.0,wednesday,22,1,2003
2003-01-23,829,441,88,45.0,73.0,4.0,thursday,23,1,2003
2003-01-24,872,461,85,44.0,86.0,6.0,friday,24,1,2003
2003-01-25,843,461,91,45.0,72.0,4.0,saturday,25,1,2003
2003-01-26,687,339,89,57.0,70.0,1.0,sunday,26,1,2003
2003-01-27,726,403,59,34.0,49.0,2.0,monday,27,1,2003
2003-01-28,861,440,98,49.0,82.0,3.0,tuesday,28,1,2003
2003-01-29,904,499,77,33.0,62.0,5.0,wednesday,29,1,2003
2003-01-30,755,408,74,37.0,69.0,4.0,thursday,30,1,2003
2003-01-31,788,413,87,47.0,67.0,3.0,friday,31,1,2003
2003-02-01,769,401,83,47.0,61.0,2.0,saturday,1,2,2003
2003-02-02,640,346,80,38.0,63.0,4.0,sunday,2,2,2003
2003-02-03,770,416,80,41.0,67.0,3.0,monday,3,2,2003
2003-02-04,814,448,76,45.0,62.0,4.0,tuesday,4,2,2003
2003-02-05,722,395,64,34.0,48.0,3.0,wednesday,5,2,2003
2003-02-06,844,470,67,31.0,57.0,1.0,thursday,6,2,2003
2003-02-07,954,503,83,49.0,74.0,2.0,friday,7,2,2003
2003-02-08,712,366,74,35.0,56.0,2.0,saturday,8,2,2003
2003-02-09,694,356,68,40.0,54.0,3.0,sunday,9,2,2003
2003-02-10,912,503,81,40.0,72.0,2.0,monday,10,2,2003
2003-02-11,766,423,70,30.0,53.0,2.0,tuesday,11,2,2003
2003-02-12,776,415,67,38.0,55.0,0.0,wednesday,12,2,2003
2003-02-13,833,426,75,54.0,70.0,1.0,thursday,13,2,2003
2003-02-14,832,434,92,47.0,86.0,3.0,friday,14,2,2003
2003-02-15,702,363,76,44.0,59.0,5.0,saturday,15,2,2003
2003-02-16,652,328,84,42.0,58.0,0.0,sunday,16,2,2003
2003-02-17,698,378,58,28.0,47.0,2.0,monday,17,2,2003
2003-02-18,841,473,82,34.0,64.0,5.0,tuesday,18,2,2003
2003-02-19,881,462,94,48.0,66.0,5.0,wednesday,19,2,2003
2003-02-20,781,418,83,43.0,67.0,0.0,thursday,20,2,2003
2003-02-21,789,412,81,42.0,57.0,0.0,friday,21,2,2003
2003-02-22,748,424,73,36.0,54.0,2.0,saturday,22,2,2003
2003-02-23,683,358,65,41.0,57.0,0.0,sunday,23,2,2003
2003-02-24,782,399,82,53.0,74.0,3.0,monday,24,2,2003
2003-02-25,870,429,105,62.0,81.0,5.0,tuesday,25,2,2003
2003-02-26,897,485,77,41.0,71.0,1.0,wednesday,26,2,2003
2003-02-27,828,439,86,44.0,63.0,3.0,thursday,27,2,2003
2003-02-28,849,450,81,43.0,66.0,1.0,friday,28,2,2003
2003-03-01,833,440,85,44.0,72.0,1.0,saturday,1,3,2003
2003-03-02,691,351,87,44.0,73.0,3.0,sunday,2,3,2003
2003-03-03,739,386,74,44.0,58.0,4.0,monday,3,3,2003
2003-03-04,822,454,72,40.0,57.0,3.0,tuesday,4,3,2003
2003-03-05,784,413,79,48.0,61.0,0.0,wednesday,5,3,2003
2003-03-06,798,419,79,49.0,71.0,3.0,thursday,6,3,2003
2003-03-07,907,489,88,39.0,78.0,4.0,friday,7,3,2003
2003-03-08,786,413,76,40.0,56.0,3.0,saturday,8,3,2003
2003-03-09,693,357,70,35.0,52.0,5.0,sunday,9,3,2003
2003-03-10,753,399,83,41.0,64.0,2.0,monday,10,3,2003
2003-03-11,877,454,84,47.0,76.0,4.0,tuesday,11,3,2003
2003-03-12,936,495,85,46.0,74.0,2.0,wednesday,12,3,2003
